msa,status,n_taxa,n_realA,n_realB,n_inherited,n_inhA,n_inhB,O_A,O_B,merged_taxa,taxa_ok,loglik,rf_true,nrf_true,n_common,faith_a,faith_b,faithful,ll_score,ll_raxml,ll_diff,raxml_agree,raxml_err,mode,seed,budget,time_sec,error
random_tree_199,ok,200,95,85,20,11,9,T143,T80,200,1,-115607.6102,32,0.0812,200,0,0,1,-115607.6102,-115607.6102,0.0,1,,ml,42,0,60.15,
random_tree_200,ok,200,88,92,20,10,10,T36,T57,200,1,-122020.4383,16,0.0406,200,0,0,1,-122020.4383,-122020.4383,0.0,1,,ml,42,0,65.15,
random_tree_003,ok,200,76,104,20,8,12,T21,T70,200,1,-114117.661,24,0.0609,200,0,0,1,-114117.661,-114117.661,0.0,1,,ml,42,0,68.37,
random_tree_021,ok,200,99,81,20,11,9,T116,T97,200,1,-117892.4108,20,0.0508,200,0,0,1,-117892.4108,-117892.4108,0.0,1,,ml,42,0,68.85,
random_tree_201,ok,200,93,87,20,10,10,T161,T42,200,1,-110359.3343,14,0.0355,200,0,0,1,-110359.3343,-110359.3343,0.0,1,,ml,42,0,55.23,
random_tree_202,ok,200,114,66,20,13,7,T172,T25,200,1,-114923.9273,10,0.0254,200,0,0,1,-114923.9273,-114923.9273,0.0,1,,ml,42,0,66.71,
random_tree_203,ok,200,80,100,20,9,11,T132,T166,200,1,-117392.6147,22,0.0558,200,0,0,1,-117392.6147,-117392.6147,0.0,1,,ml,42,0,54.32,
random_tree_204,ok,200,97,83,20,11,9,T140,T77,200,1,-116594.6715,10,0.0254,200,0,0,1,-116594.6715,-116594.6715,0.0,1,,ml,42,0,54.5,
random_tree_205,ok,200,87,93,20,10,10,T30,T60,200,1,-114029.4621,20,0.0508,200,0,0,1,-114029.4621,-114029.4621,0.0,1,,ml,42,0,51.31,
random_tree_206,ok,200,89,91,20,10,10,T29,T61,200,1,-114131.5549,28,0.0711,200,0,0,1,-114131.5549,-114131.5549,0.0,1,,ml,42,0,52.69,
random_tree_207,ok,200,83,97,20,9,11,T126,T171,200,1,-115813.1023,22,0.0558,200,0,0,1,-115813.1023,-115813.1023,0.0,1,,ml,42,0,52.99,
random_tree_208,ok,200,89,91,20,10,10,T4,T56,200,1,-111683.8784,22,0.0558,200,0,0,1,-111683.8784,-111683.8784,0.0,1,,ml,42,0,53.47,
random_tree_209,ok,200,89,91,20,10,10,T3,T62,200,1,-115965.0075,26,0.066,200,0,0,1,-115965.0075,-115965.0075,0.0,1,,ml,42,0,47.87,
random_tree_210,ok,200,81,99,20,9,11,T119,T169,200,1,-115524.1799,18,0.0457,200,0,0,1,-115524.1799,-115524.1799,0.0,1,,ml,42,0,51.46,
random_tree_022,ok,200,92,88,20,10,10,T156,T6,200,1,-127908.3447,24,0.0609,200,0,0,1,-127908.3447,-127908.3447,0.0,1,,ml,42,0,78.66,
random_tree_211,ok,200,91,89,20,10,10,T186,T199,200,1,-121059.1583,12,0.0305,200,0,0,1,-121059.1583,-121059.1583,0.0,1,,ml,42,0,51.56,
random_tree_212,ok,200,96,84,20,11,9,T132,T79,200,1,-123694.1238,32,0.0812,200,0,0,1,-123694.1238,-123694.1238,0.0,1,,ml,42,0,59.41,
random_tree_213,ok,200,92,88,20,10,10,T16,T48,200,1,-119570.0331,22,0.0558,200,0,0,1,-119570.0331,-119570.0331,0.0,1,,ml,42,0,54.88,
random_tree_214,ok,200,89,91,20,10,10,T31,T60,200,1,-113221.1045,26,0.066,200,0,0,1,-113221.1045,-113221.1045,0.0,1,,ml,42,0,48.65,
random_tree_215,ok,200,97,83,20,11,9,T134,T75,200,1,-122049.6116,20,0.0508,200,0,0,1,-122049.6116,-122049.6116,0.0,1,,ml,42,0,55.83,
random_tree_216,ok,200,105,75,20,12,8,T163,T38,200,1,-114559.9924,26,0.066,200,0,0,1,-114559.9924,-114559.9924,0.0,1,,ml,42,0,58.84,
random_tree_217,ok,200,72,108,20,8,12,T144,T94,200,1,-120295.2507,16,0.0406,200,0,0,1,-120295.2507,-120295.2507,0.0,1,,ml,42,0,38.17,
random_tree_218,ok,200,78,102,20,9,11,T86,T186,200,1,-119276.8093,20,0.0508,200,0,0,1,-119276.8093,-119276.8093,0.0,1,,ml,42,0,32.75,
random_tree_219,ok,200,95,85,20,11,9,T144,T82,200,1,-118508.5955,20,0.0508,200,0,0,1,-118508.5955,-118508.5955,0.0,1,,ml,42,0,30.48,
random_tree_220,ok,200,87,93,20,10,10,T30,T58,200,1,-123102.3953,30,0.0761,200,0,0,1,-123102.3953,-123102.3953,0.0,1,,ml,42,0,34.99,
random_tree_023,ok,200,95,85,20,11,9,T146,T8,200,1,-124349.0693,14,0.0355,200,0,0,1,-124349.0693,-124349.0693,0.0,1,,ml,42,0,86.85,
random_tree_221,ok,200,74,106,20,8,12,T153,T92,200,1,-107467.3205,22,0.0558,200,0,0,1,-107467.3205,-107467.3205,0.0,1,,ml,42,0,32.08,
random_tree_222,ok,200,99,81,20,11,9,T113,T96,200,1,-119045.8592,6,0.0152,200,0,0,1,-119045.8592,-119045.8592,0.0,1,,ml,42,0,36.59,
random_tree_223,ok,200,72,108,20,8,12,T138,T92,200,1,-121209.3013,26,0.066,200,0,0,1,-121209.3013,-121209.3013,0.0,1,,ml,42,0,37.32,
random_tree_224,ok,200,71,109,20,8,12,T147,T92,200,1,-111392.6362,26,0.066,200,0,0,1,-111392.6362,-111392.6362,0.0,1,,ml,42,0,36.8,
random_tree_225,ok,200,74,106,20,8,12,T150,T9,200,1,-121837.6548,32,0.0812,200,0,0,1,-121837.6548,-121837.6548,0.0,1,,ml,42,0,38.7,
random_tree_226,ok,200,88,92,20,10,10,T200,T62,200,1,-112095.7181,18,0.0457,200,0,0,1,-112095.7181,-112095.7181,0.0,1,,ml,42,0,29.9,
random_tree_227,ok,200,85,95,20,10,10,T127,T16,200,1,-114240.7596,14,0.0355,200,0,0,1,-114240.7596,-114240.7596,0.0,1,,ml,42,0,35.12,
random_tree_228,ok,200,100,80,20,11,9,T155,T36,200,1,-115272.27,38,0.0964,200,0,0,1,-115272.27,-115272.27,0.0,1,,ml,42,0,34.02,
random_tree_229,ok,200,85,95,20,9,11,T125,T167,200,1,-121553.1881,12,0.0305,200,0,0,1,-121553.1881,-121553.1881,0.0,1,,ml,42,0,32.6,
random_tree_230,ok,200,80,100,20,9,11,T120,T185,200,1,-115597.943,20,0.0508,200,0,0,1,-115597.943,-115597.943,0.0,1,,ml,42,0,32.84,
random_tree_024,ok,200,88,92,20,10,10,T32,T56,200,1,-109472.9247,26,0.066,200,0,0,1,-109472.9247,-109472.9247,0.0,1,,ml,42,0,66.02,
random_tree_231,ok,200,84,96,20,9,11,T32,T75,200,1,-114392.4399,20,0.0508,200,0,0,1,-114392.4399,-114392.4399,0.0,1,,ml,42,0,32.16,
random_tree_232,ok,200,101,79,20,11,9,T165,T4,200,1,-121715.432,24,0.0609,200,0,0,1,-121715.432,-121715.432,0.0,1,,ml,42,0,32.9,
random_tree_233,ok,200,88,92,20,10,10,T27,T59,200,1,-118149.216,22,0.0558,200,0,0,1,-118149.216,-118149.216,0.0,1,,ml,42,0,31.52,
random_tree_234,ok,200,101,79,20,11,9,T158,T43,200,1,-111405.5232,24,0.0609,200,0,0,1,-111405.5232,-111405.5232,0.0,1,,ml,42,0,35.05,
random_tree_235,ok,200,108,72,20,12,8,T50,T32,200,1,-117250.7125,22,0.0558,200,0,0,1,-117250.7125,-117250.7125,0.0,1,,ml,42,0,35.13,
random_tree_236,ok,200,85,95,20,10,10,T123,T169,200,1,-116949.4728,18,0.0457,200,0,0,1,-116949.4728,-116949.4728,0.0,1,,ml,42,0,35.24,
random_tree_237,ok,200,85,95,20,10,10,T123,T171,200,1,-114342.3411,26,0.066,200,0,0,1,-114342.3411,-114342.3411,0.0,1,,ml,42,0,35.71,
random_tree_238,ok,200,94,86,20,10,10,T153,T58,200,1,-115198.8112,24,0.0609,200,0,0,1,-115198.8112,-115198.8112,0.0,1,,ml,42,0,30.38,
random_tree_239,ok,200,82,98,20,9,11,T124,T183,200,1,-114058.1822,12,0.0305,200,0,0,1,-114058.1822,-114058.1822,0.0,1,,ml,42,0,33.38,
random_tree_240,ok,200,88,92,20,10,10,T30,T61,200,1,-117079.1035,18,0.0457,200,0,0,1,-117079.1035,-117079.1035,0.0,1,,ml,42,0,31.71,
random_tree_025,ok,200,95,85,20,10,10,T170,T54,200,1,-113622.8806,12,0.0305,200,0,0,1,-113622.8806,-113622.8806,0.0,1,,ml,42,0,77.55,
random_tree_241,ok,200,83,97,20,9,11,T118,T181,200,1,-117966.8913,18,0.0457,200,0,0,1,-117966.8913,-117966.8913,0.0,1,,ml,42,0,33.1,
random_tree_242,ok,200,92,88,20,10,10,T152,T50,200,1,-121563.322,24,0.0609,200,0,0,1,-121563.322,-121563.322,0.0,1,,ml,42,0,36.39,
random_tree_243,ok,200,72,108,20,8,12,T147,T92,200,1,-118726.3261,14,0.0355,200,0,0,1,-118726.3261,-118726.3261,0.0,1,,ml,42,0,36.2,
random_tree_244,ok,200,88,92,20,10,10,T36,T59,200,1,-122505.3005,32,0.0812,200,0,0,1,-122505.3005,-122505.3005,0.0,1,,ml,42,0,33.48,
random_tree_245,ok,200,103,77,20,11,9,T2,T177,200,1,-117873.8941,24,0.0609,200,0,0,1,-117873.8941,-117873.8941,0.0,1,,ml,42,0,32.44,
random_tree_246,ok,200,114,66,20,13,7,T169,T25,200,1,-118245.6819,24,0.0609,200,0,0,1,-118245.6819,-118245.6819,0.0,1,,ml,42,0,36.55,
random_tree_247,ok,200,68,112,20,8,12,T13,T9,200,1,-112897.4248,28,0.0711,200,0,0,1,-112897.4248,-112897.4248,0.0,1,,ml,42,0,36.05,
random_tree_248,ok,200,98,82,20,11,9,T122,T99,200,1,-116598.2399,26,0.066,200,0,0,1,-116598.2399,-116598.2399,0.0,1,,ml,42,0,32.7,
random_tree_249,ok,200,87,93,20,10,10,T23,T72,200,1,-120378.526,26,0.066,200,0,0,1,-120378.526,-120378.526,0.0,1,,ml,42,0,33.78,
random_tree_250,ok,200,85,95,20,9,11,T121,T172,200,1,-110026.2169,16,0.0406,200,0,0,1,-110026.2169,-110026.2169,0.0,1,,ml,42,0,28.96,
random_tree_026,ok,200,89,91,20,10,10,T33,T56,200,1,-107631.2973,26,0.066,200,0,0,1,-107631.2973,-107631.2973,0.0,1,,ml,42,0,74.7,
random_tree_251,ok,200,91,89,20,10,10,T180,T197,200,1,-120959.1037,14,0.0355,200,0,0,1,-120959.1037,-120959.1037,0.0,1,,ml,42,0,31.94,
random_tree_252,ok,200,77,103,20,8,12,T194,T77,200,1,-115555.5235,12,0.0305,200,0,0,1,-115555.5235,-115555.5235,0.0,1,,ml,42,0,30.88,
random_tree_253,ok,200,69,111,20,8,12,T132,T81,200,1,-113402.6123,18,0.0457,200,0,0,1,-113402.6123,-113402.6123,0.0,1,,ml,42,0,39.89,
random_tree_254,ok,200,95,85,20,10,10,T151,T54,200,1,-111403.6349,18,0.0457,200,0,0,1,-111403.6349,-111403.6349,0.0,1,,ml,42,0,32.55,
